Season,Team,Date,Home/Away,Opp,W/L,FG%,FT,FTA,FT%,DRtg,FTr,TS%,eFG%,FT/FGA
2019-20,MIL,1/28/20,Home,WAS,W,0.556,32,35,0.914,125.1,0.389,0.716,0.661,0.356
2019-20,DEN,1/28/20,Away,MEM,L,0.372,15,18,0.833,107.3,0.209,0.511,0.471,0.174
2019-20,IND,1/29/20,Home,CHI,W,0.517,16,22,0.727,104.6,0.247,0.583,0.556,0.18
2019-20,DEN,1/30/20,Home,UTA,W,0.471,17,21,0.81,106.7,0.247,0.562,0.524,0.2
2019-20,LAL,1/31/20,Home,POR,L,0.469,18,28,0.643,121.1,0.292,0.549,0.526,0.188
2019-20,MIL,1/31/20,Home,DEN,L,0.453,17,26,0.654,116.7,0.274,0.54,0.516,0.179
2019-20,DEN,1/31/20,Away,MIL,W,0.48,9,9,1,105.6,0.09,0.611,0.59,0.09
2019-20,LAL,2/1/20,Away,SAC,W,0.512,22,27,0.815,112.2,0.314,0.659,0.622,0.256
2019-20,IND,2/1/20,Home,NYK,L,0.421,13,21,0.619,103.2,0.276,0.499,0.474,0.171
2019-20,MIL,2/2/20,Home,PHO,W,0.495,18,27,0.667,101.4,0.278,0.592,0.572,0.186
2019-20,DEN,2/2/20,Away,DET,L,0.5,17,22,0.773,127.7,0.229,0.582,0.552,0.177
2019-20,IND,2/3/20,Home,DAL,L,0.458,8,11,0.727,119.4,0.115,0.511,0.495,0.083
2019-20,LAL,2/4/20,Home,SAS,W,0.588,17,25,0.68,106.7,0.294,0.672,0.659,0.2
2019-20,MIL,2/4/20,Away,NOP,W,0.471,13,17,0.765,93.1,0.167,0.548,0.525,0.127
2019-20,DEN,2/4/20,Home,POR,W,0.511,18,25,0.72,101,0.278,0.629,0.606,0.2
2019-20,IND,2/5/20,Away,TOR,L,0.524,13,16,0.813,121.8,0.195,0.663,0.64,0.159
2019-20,DEN,2/5/20,Away,UTA,W,0.433,13,18,0.722,98.9,0.2,0.5,0.472,0.144
2019-20,LAL,2/6/20,Home,HOU,L,0.495,12,16,0.75,117.7,0.176,0.566,0.544,0.132
2019-20,MIL,2/6/20,Home,PHI,W,0.468,12,18,0.667,96.7,0.191,0.549,0.532,0.128
2019-20,IND,2/7/20,Home,TOR,L,0.453,18,22,0.818,113,0.256,0.554,0.512,0.209
2019-20,LAL,2/8/20,Away,GSW,W,0.524,25,34,0.735,112.3,0.415,0.645,0.61,0.305
2019-20,IND,2/8/20,Home,NOP,L,0.53,20,27,0.741,118.9,0.325,0.617,0.584,0.241
2019-20,MIL,2/8/20,Away,ORL,W,0.452,12,16,0.75,92.4,0.172,0.555,0.532,0.129
2019-20,DEN,2/8/20,Away,PHO,W,0.549,16,21,0.762,112.6,0.256,0.641,0.616,0.195
2019-20,LAL,2/10/20,Home,PHO,W,0.516,17,25,0.68,101.3,0.275,0.613,0.593,0.187
2019-20,IND,2/10/20,Home,BRK,L,0.489,8,11,0.727,112,0.12,0.542,0.527,0.087
2019-20,MIL,2/10/20,Home,SAC,W,0.448,19,23,0.826,101.5,0.24,0.58,0.542,0.198
2019-20,DEN,2/10/20,Home,SAS,W,0.563,19,23,0.826,130.9,0.288,0.705,0.675,0.238
2019-20,LAL,2/12/20,Away,DEN,W,0.505,14,27,0.519,110.9,0.29,0.572,0.57,0.151
2019-20,IND,2/12/20,Home,MIL,W,0.523,19,24,0.792,108,0.279,0.611,0.576,0.221
2019-20,MIL,2/12/20,Away,IND,L,0.407,24,25,0.96,114.8,0.275,0.544,0.478,0.264
2019-20,DEN,2/12/20,Home,LAL,L,0.5,17,22,0.773,114.7,0.25,0.594,0.563,0.193
2019-20,MIL,2/20/20,Away,DET,W,0.505,22,27,0.815,103.5,0.29,0.601,0.559,0.237
2019-20,LAL,2/21/20,Home,MEM,W,0.477,26,40,0.65,101.1,0.465,0.565,0.529,0.302
2019-20,IND,2/21/20,Away,NYK,W,0.409,26,33,0.788,98.9,0.375,0.517,0.455,0.295
2019-20,DEN,2/21/20,Away,OKC,L,0.481,21,23,0.913,118.7,0.299,0.58,0.519,0.273
2019-20,MIL,2/22/20,Home,PHI,W,0.527,9,13,0.692,94.4,0.143,0.615,0.604,0.099
2019-20,LAL,2/23/20,Home,BOS,W,0.453,25,37,0.676,109.2,0.43,0.557,0.517,0.291
2019-20,IND,2/23/20,Away,TOR,L,0.326,11,17,0.647,122.1,0.179,0.395,0.368,0.116
2019-20,DEN,2/23/20,Home,MIN,W,0.589,11,17,0.647,110.9,0.189,0.657,0.65,0.122
2019-20,MIL,2/24/20,Away,WAS,W,0.57,22,27,0.815,114.1,0.314,0.7,0.669,0.256
2019-20,LAL,2/25/20,Home,NOP,W,0.441,15,21,0.714,98.5,0.206,0.53,0.505,0.147
2019-20,IND,2/25/20,Home,CHO,W,0.57,11,13,0.846,82.4,0.151,0.649,0.628,0.128
2019-20,MIL,2/25/20,Away,TOR,W,0.381,30,36,0.833,94.3,0.429,0.541,0.464,0.357
2019-20,DEN,2/25/20,Home,DET,W,0.579,18,22,0.818,106.6,0.289,0.671,0.638,0.237
2019-20,LAL,2/27/20,Away,GSW,W,0.511,18,27,0.667,82.1,0.307,0.581,0.557,0.205
2019-20,IND,2/27/20,Home,POR,W,0.444,18,23,0.783,103.7,0.256,0.529,0.489,0.2
2019-20,MIL,2/28/20,Home,OKC,W,0.5,12,14,0.857,80.6,0.14,0.626,0.605,0.12
2019-20,DEN,2/28/20,Away,LAC,L,0.451,12,16,0.75,138.3,0.176,0.525,0.5,0.132
2019-20,LAL,2/29/20,Away,MEM,L,0.414,7,12,0.583,116.7,0.138,0.477,0.466,0.08
2019-20,IND,2/29/20,Away,CLE,W,0.54,11,14,0.786,106.8,0.161,0.606,0.586,0.126
2019-20,LAL,3/1/20,Away,NOP,W,0.515,9,10,0.9,107.8,0.103,0.602,0.582,0.093
2019-20,MIL,3/1/20,Away,CHO,W,0.402,16,21,0.762,89,0.241,0.483,0.443,0.184
2019-20,DEN,3/1/20,Home,TOR,W,0.566,21,30,0.7,115.1,0.361,0.691,0.675,0.253
2019-20,IND,3/2/20,Away,SAS,W,0.5,23,26,0.885,116.9,0.333,0.648,0.596,0.295
2019-20,MIL,3/2/20,Away,MIA,L,0.407,12,19,0.632,108.9,0.221,0.472,0.448,0.14
2019-20,LAL,3/3/20,Home,PHI,W,0.535,15,18,0.833,112.6,0.209,0.639,0.61,0.174
2019-20,DEN,3/3/20,Home,GSW,L,0.448,19,26,0.731,122.9,0.299,0.508,0.466,0.218
2019-20,IND,3/4/20,Away,MIL,L,0.433,9,11,0.818,111.6,0.113,0.491,0.469,0.093
2019-20,MIL,3/4/20,Home,IND,W,0.457,20,22,0.909,93.8,0.234,0.574,0.527,0.213
2019-20,DEN,3/5/20,Away,CHO,W,0.53,18,20,0.9,125.2,0.241,0.621,0.578,0.217
2019-20,LAL,3/6/20,Home,MIL,W,0.418,31,38,0.816,92.7,0.418,0.525,0.451,0.341
2019-20,IND,3/6/20,Away,CHI,W,0.507,24,33,0.727,102.4,0.44,0.603,0.56,0.32
2019-20,MIL,3/6/20,Away,LAL,L,0.416,17,23,0.739,101.7,0.258,0.52,0.483,0.191
2019-20,DEN,3/7/20,Away,CLE,L,0.506,3,8,0.375,110.8,0.094,0.576,0.582,0.035
2019-20,LAL,3/8/20,Away,LAC,W,0.448,24,28,0.857,103.6,0.322,0.564,0.506,0.276
2019-20,IND,3/8/20,Away,DAL,W,0.523,12,18,0.667,109.4,0.205,0.584,0.568,0.136
2019-20,MIL,3/8/20,Away,PHO,L,0.537,16,21,0.762,134.1,0.221,0.628,0.605,0.168
2019-20,MIL,3/9/20,Away,DEN,L,0.378,12,18,0.667,106.5,0.2,0.485,0.461,0.133
2019-20,DEN,3/9/20,Home,MIL,W,0.436,11,12,0.917,92.8,0.128,0.549,0.521,0.117
2019-20,LAL,3/10/20,Home,BRK,L,0.46,7,12,0.583,109.5,0.138,0.553,0.546,0.08
2019-20,IND,3/10/20,Home,BOS,L,0.495,10,11,0.909,117.5,0.118,0.567,0.543,0.108
2019-20,DEN,3/11/20,Away,DAL,L,0.47,5,8,0.625,115.8,0.096,0.561,0.554,0.06
